[2026-01-26 17:26:14,841][trainer.py][line:65][INFO] start training!
[2026-01-26 18:14:21,617][trainer.py][line:239][INFO] Val Epoch: [12/100], loss: 0.038332, psnr3d: 49.8583¡À2.4497, psnr2d: 40.3159¡À2.4497, ssim3d: 0.9997¡À0.0001, ssim2d: 0.9838¡À0.0071, rmse: 0.010002¡À0.002517
[2026-01-26 18:17:42,622][trainer.py][line:160][INFO] Epoch: [13/100], loss: 0.037827, psnr3d: 50.1946, psnr2d: 40.6522, ssim3d: 0.9996, ssim2d: 0.9841, rmse: 0.009665
[2026-01-26 18:18:03,034][trainer.py][line:239][INFO] Val Epoch: [13/100], loss: 0.036438, psnr3d: 50.9536¡À2.5631, psnr2d: 41.4112¡À2.5631, ssim3d: 0.9997¡À0.0001, ssim2d: 0.9844¡À0.0067, rmse: 0.008854¡À0.002395
[2026-01-26 18:21:24,200][trainer.py][line:160][INFO] Epoch: [14/100], loss: 0.035083, psnr3d: 50.8047, psnr2d: 41.2622, ssim3d: 0.9997, ssim2d: 0.9852, rmse: 0.009009
[2026-01-26 18:21:44,290][trainer.py][line:239][INFO] Val Epoch: [14/100], loss: 0.035803, psnr3d: 50.2789¡À2.0177, psnr2d: 40.7364¡À2.0177, ssim3d: 0.9997¡À0.0001, ssim2d: 0.9852¡À0.0064, rmse: 0.009431¡À0.002116
[2026-01-26 18:25:05,556][trainer.py][line:160][INFO] Epoch: [15/100], loss: 0.033932, psnr3d: 51.0900, psnr2d: 41.5475, ssim3d: 0.9997, ssim2d: 0.9857, rmse: 0.008719
[2026-01-26 18:25:26,014][trainer.py][line:239][INFO] Val Epoch: [15/100], loss: 0.031938, psnr3d: 51.2961¡À2.5405, psnr2d: 41.7537¡À2.5405, ssim3d: 0.9998¡À0.0001, ssim2d: 0.9865¡À0.0060, rmse: 0.008506¡À0.002286
[2026-01-26 18:28:47,523][trainer.py][line:160][INFO] Epoch: [16/100], loss: 0.033549, psnr3d: 51.3189, psnr2d: 41.7764, ssim3d: 0.9997, ssim2d: 0.9859, rmse: 0.008504
[2026-01-26 18:29:07,777][trainer.py][line:239][INFO] Val Epoch: [16/100], loss: 0.033274, psnr3d: 50.7489¡À2.5491, psnr2d: 41.2064¡À2.5491, ssim3d: 0.9997¡À0.0001, ssim2d: 0.9863¡À0.0061, rmse: 0.009052¡À0.002361
[2026-01-26 18:32:29,241][trainer.py][line:160][INFO] Epoch: [17/100], loss: 0.032602, psnr3d: 51.5759, psnr2d: 42.0335, ssim3d: 0.9997, ssim2d: 0.9863, rmse: 0.008245
[2026-01-26 18:32:49,374][trainer.py][line:239][INFO] Val Epoch: [17/100], loss: 0.030427, psnr3d: 52.1864¡À2.6569, psnr2d: 42.6440¡À2.6569, ssim3d: 0.9998¡À0.0001, ssim2d: 0.9871¡À0.0058, rmse: 0.007705¡À0.002155
[2026-01-26 18:36:10,620][trainer.py][line:160][INFO] Epoch: [18/100], loss: 0.031142, psnr3d: 51.7176, psnr2d: 42.1752, ssim3d: 0.9997, ssim2d: 0.9869, rmse: 0.008120
[2026-01-26 18:36:30,656][trainer.py][line:239][INFO] Val Epoch: [18/100], loss: 0.033118, psnr3d: 51.6569¡À2.2806, psnr2d: 42.1145¡À2.2806, ssim3d: 0.9997¡À0.0001, ssim2d: 0.9859¡À0.0057, rmse: 0.008107¡À0.002070
[2026-01-26 18:39:51,737][trainer.py][line:160][INFO] Epoch: [19/100], loss: 0.031063, psnr3d: 51.9034, psnr2d: 42.3610, ssim3d: 0.9997, ssim2d: 0.9869, rmse: 0.007963
[2026-01-26 18:40:11,828][trainer.py][line:239][INFO] Val Epoch: [19/100], loss: 0.041410, psnr3d: 50.0945¡À1.5410, psnr2d: 40.5520¡À1.5410, ssim3d: 0.9994¡À0.0001, ssim2d: 0.9824¡À0.0059, rmse: 0.009529¡À0.001625
[2026-01-26 18:43:33,145][trainer.py][line:160][INFO] Epoch: [20/100], loss: 0.029622, psnr3d: 52.1453, psnr2d: 42.6028, ssim3d: 0.9998, ssim2d: 0.9876, rmse: 0.007749
